ClassNumber,Mnemonic,Number,Section,Title
16882,CPE,9999,2,"Non-Topical Research, Doctoral Dissertation"
20316,CPLT,3590,1,Topics in Comparative Literature
20317,CPLT,3590,2,Topics in Comparative Literature
13107,CREO,1010,1,Elementary Creole I
13108,CREO,2010,1,Intermediate Creole I
17135,CS,1010,2,Introduction to Information Technology
16513,CS,1110,1,Introduction to Programming
16950,CS,1110,2,Introduction to Programming
17304,CS,1110,3,Introduction to Programming
20240,CS,1110,4,Introduction to Programming
15855,CS,1110,101,Introduction to Programming
15857,CS,1110,102,Introduction to Programming
15858,CS,1110,103,Introduction to Programming
15856,CS,1110,104,Introduction to Programming
16437,CS,1110,105,Introduction to Programming
16957,CS,1110,106,Introduction to Programming
16958,CS,1110,107,Introduction to Programming
16959,CS,1110,108,Introduction to Programming
17046,CS,1110,109,Introduction to Programming
17265,CS,1110,110,Introduction to Programming
20477,CS,1110,113,Introduction to Programming
16856,CS,1111,1,Introduction to Programming
15859,CS,1112,1,Introduction to Programming
21508,CS,1501,1,Special Topics in Computer Science
21510,CS,1501,2,Special Topics in Computer Science
21751,CS,1501,3,Special Topics in Computer Science
16010,CS,2102,1,Discrete Mathematics
19472,CS,2102,2,Discrete Mathematics
19473,CS,2102,3,Discrete Mathematics
15860,CS,2110,1,Software Development Methods
15861,CS,2110,2,Software Development Methods
16549,CS,2110,3,Software Development Methods
17305,CS,2110,4,Software Development Methods
15863,CS,2110,100,Software Development Methods
15864,CS,2110,101,Software Development Methods
15865,CS,2110,102,Software Development Methods
15862,CS,2110,103,Software Development Methods
17350,CS,2110,104,Software Development Methods
15866,CS,2150,1,Program and Data Representation
16951,CS,2150,2,Program and Data Representation
20339,CS,2150,3,Program and Data Representation
20476,CS,2150,101,Program and Data Representation
16382,CS,2150,102,Program and Data Representation
16550,CS,2150,103,Program and Data Representation
16519,CS,2150,104,Program and Data Representation
16488,CS,2150,105,Program and Data Representation
16806,CS,2150,106,Program and Data Representation
16877,CS,2150,107,Program and Data Representation
16960,CS,2150,108,Program and Data Representation
19475,CS,2501,100,Special Topics in Computer Science
19477,CS,2501,200,Special Topics in Computer Science
20258,CS,2501,201,Special Topics in Computer Science
20259,CS,2501,202,Special Topics in Computer Science
19478,CS,2501,300,Special Topics in Computer Science
20260,CS,2501,301,Special Topics in Computer Science
20261,CS,2501,302,Special Topics in Computer Science
17045,CS,2910,1,CS Education Practicum
20272,CS,2910,3,CS Education Practicum
20273,CS,2910,4,CS Education Practicum
15994,CS,3102,1,Theory of Computation
16687,CS,3205,1,HCI in Software Development
16489,CS,3240,1,Advanced Software Development Techniques
16551,CS,3240,101,Advanced Software Development Techniques
16552,CS,3240,102,Advanced Software Development Techniques
20020,CS,3240,103,Advanced Software Development Techniques
15867,CS,3330,1,Computer Architecture
16998,CS,3330,2,Computer Architecture
16004,CS,3330,101,Computer Architecture
16005,CS,3330,102,Computer Architecture
16006,CS,3330,103,Computer Architecture
16707,CS,3330,104,Computer Architecture
17132,CS,3330,105,Computer Architecture
20274,CS,3330,106,Computer Architecture
20547,CS,3330,107,Computer Architecture
19576,CS,3501,1,Special Topics in Computer Science
16490,CS,4102,1,Algorithms
16996,CS,4102,2,Algorithms
15868,CS,4414,1,Operating Systems
20265,CS,4414,2,Operating Systems
15870,CS,4457,1,Computer Networks
16670,CS,4501,1,Special Topics in Computer Science
20501,CS,4501,3,Special Topics in Computer Science
20506,CS,4501,4,Special Topics in Computer Science
20616,CS,4501,5,Special Topics in Computer Science
19480,CS,4610,1,Programming Languages
17141,CS,4620,1,Compilers
16767,CS,4630,1,Defense Against the Dark Arts
16785,CS,4710,1,Artificial Intelligence
16454,CS,4720,1,Mobile Application Development
16952,CS,4740,1,Cloud Computing
16865,CS,4750,1,Database Systems
15869,CS,4753,1,Electronic Commerce Technologies
20241,CS,4760,1,Network Security
20340,CS,4810,1,Introduction to Computer Graphics
16560,CS,4970,1,Capstone Practicum I
16565,CS,4980,6,Capstone Research
16567,CS,4980,8,Capstone Research
16570,CS,4980,11,Capstone Research
16572,CS,4980,14,Capstone Research
20520,CS,4980,18,Capstone Research
17433,CS,4980,20,Capstone Research
16576,CS,4980,21,Capstone Research
16628,CS,4980,22,Capstone Research
16632,CS,4980,23,Capstone Research
16901,CS,4980,26,Capstone Research
16905,CS,4980,30,Capstone Research
16906,CS,4980,31,Capstone Research
17050,CS,4980,32,Capstone Research
17052,CS,4980,34,Capstone Research
17053,CS,4980,35,Capstone Research
17054,CS,4980,36,Capstone Research
17125,CS,4980,37,Capstone Research
17222,CS,4980,38,Capstone Research
21200,CS,4980,39,Capstone Research
21741,CS,4980,40,Capstone Research
21793,CS,4980,41,Capstone Research
21984,CS,4980,42,Capstone Research
21985,CS,4980,43,Capstone Research
22327,CS,4980,46,Capstone Research
22385,CS,4980,47,Capstone Research
16015,CS,4993,2,Independent Study
16393,CS,4993,3,Independent Study
16377,CS,4993,9,Independent Study
16618,CS,4993,18,Independent Study
16709,CS,4993,22,Independent Study
16810,CS,4993,24,Independent Study
16898,CS,4993,25,Independent Study
16974,CS,4993,32,Independent Study
17056,CS,4993,34,Independent Study
17060,CS,4993,37,Independent Study
17223,CS,4993,39,Independent Study
17295,CS,4993,40,Independent Study
17445,CS,4993,42,Independent Study
21975,CS,4993,45,Independent Study
22049,CS,4993,50,Independent Study
17203,CS,4998,4,Distinguished BA Majors Research
20646,CS,4998,14,Distinguished BA Majors Research
22476,CS,4998,29,Distinguished BA Majors Research
16724,CS,5012,1,Foundations of Computer Science
16784,CS,6161,1,Design and Analysis of Algorithms
15975,CS,6190,1,Computer Science Perspectives
16797,CS,6316,1,Machine Learning
16953,CS,6354,1,Computer Architecture
16783,CS,6501,1,Special Topics in Computer Science
17146,CS,6501,2,Special Topics in Computer Science
16796,CS,6501,3,Special Topics in Computer Science
16867,CS,6501,4,Special Topics in Computer Science
17147,CS,6501,5,Special Topics in Computer Science
17037,CS,6501,6,Special Topics in Computer Science
20653,CS,6501,7,Special Topics in Computer Science
21212,CS,6501,8,Special Topics in Computer Science
21694,CS,6501,9,Special Topics in Computer Science
21779,CS,6501,11,Special Topics in Computer Science
21701,CS,6501,12,Special Topics in Computer Science
21840,CS,6501,13,Special Topics in Computer Science
19481,CS,6620,1,Compilers
17319,CS,6890,4,Industrial Applications
17321,CS,6890,6,Industrial Applications
17322,CS,6890,7,Industrial Applications
17323,CS,6890,8,Industrial Applications
17327,CS,6890,12,Industrial Applications
17329,CS,6890,14,Industrial Applications
17331,CS,6890,16,Industrial Applications
17332,CS,6890,17,Industrial Applications
17334,CS,6890,19,Industrial Applications
17335,CS,6890,20,Industrial Applications
17336,CS,6890,21,Industrial Applications
17337,CS,6890,22,Industrial Applications
16295,CS,7993,3,Independent Study
16633,CS,7993,5,Independent Study
16638,CS,7993,8,Independent Study
16639,CS,7993,9,Independent Study
16989,CS,7993,12,Independent Study
17274,CS,7993,20,Independent Study
16649,CS,7993,23,Independent Study
16804,CS,7993,26,Independent Study
17062,CS,7993,28,Independent Study
17063,CS,7993,29,Independent Study
17066,CS,7993,32,Independent Study
17126,CS,7993,35,Independent Study
17216,CS,7993,36,Independent Study
20523,CS,7993,39,Independent Study
21995,CS,7993,42,Independent Study
22078,CS,7993,47,Independent Study
22079,CS,7993,48,Independent Study
16248,CS,7995,2,Supervised Project Research
16977,CS,7995,11,Supervised Project Research
16420,CS,7995,16,Supervised Project Research
16424,CS,7995,21,Supervised Project Research
16691,CS,7995,22,Supervised Project Research
17275,CS,7995,25,Supervised Project Research
17069,CS,7995,30,Supervised Project Research
20524,CS,7995,38,Supervised Project Research
21702,CS,7995,39,Supervised Project Research
16330,CS,8524,1,Topics in Software Engineering
16254,CS,8897,1,Graduate Teaching Instruction
16255,CS,8897,2,Graduate Teaching Instruction
16256,CS,8897,3,Graduate Teaching Instruction
16699,CS,8897,4,Graduate Teaching Instruction
16257,CS,8897,5,Graduate Teaching Instruction
16258,CS,8897,6,Graduate Teaching Instruction
16259,CS,8897,7,Graduate Teaching Instruction
16260,CS,8897,8,Graduate Teaching Instruction
16979,CS,8897,9,Graduate Teaching Instruction
16368,CS,8897,10,Graduate Teaching Instruction
16369,CS,8897,11,Graduate Teaching Instruction
17073,CS,8897,12,Graduate Teaching Instruction
16370,CS,8897,13,Graduate Teaching Instruction
16980,CS,8897,14,Graduate Teaching Instruction
17284,CS,8897,15,Graduate Teaching Instruction
16371,CS,8897,16,Graduate Teaching Instruction
16622,CS,8897,17,Graduate Teaching Instruction
16372,CS,8897,18,Graduate Teaching Instruction
17292,CS,8897,19,Graduate Teaching Instruction
16692,CS,8897,20,Graduate Teaching Instruction
16373,CS,8897,21,Graduate Teaching Instruction
16374,CS,8897,22,Graduate Teaching Instruction
17276,CS,8897,23,Graduate Teaching Instruction
16375,CS,8897,24,Graduate Teaching Instruction
16378,CS,8897,25,Graduate Teaching Instruction
16895,CS,8897,26,Graduate Teaching Instruction
16897,CS,8897,27,Graduate Teaching Instruction
16542,CS,8897,28,Graduate Teaching Instruction
16896,CS,8897,29,Graduate Teaching Instruction
16625,CS,8897,30,Graduate Teaching Instruction
16626,CS,8897,31,Graduate Teaching Instruction
16627,CS,8897,32,Graduate Teaching Instruction
17074,CS,8897,33,Graduate Teaching Instruction
17075,CS,8897,34,Graduate Teaching Instruction
17076,CS,8897,35,Graduate Teaching Instruction
17077,CS,8897,36,Graduate Teaching Instruction
17078,CS,8897,37,Graduate Teaching Instruction
17112,CS,8897,38,Graduate Teaching Instruction
17113,CS,8897,39,Graduate Teaching Instruction
17114,CS,8897,40,Graduate Teaching Instruction
17218,CS,8897,41,Graduate Teaching Instruction
